"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Diakidoy2016_1","ES_80","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,7.46,4.52,4.09,3.06,NA,NA,NA,0.801264966013987,0.0638705388631937
"Diakidoy2016_1","ES_78","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,15.14,14.09,11.82,11.54,NA,NA,NA,0.0888325253784833,0.0589358663284521
"Donovan 2018_1","ES_82","acc_beliefs",36,36,72,"published","random","not_screened",NA,0,7.08,3.72,4.88,3.05,NA,NA,NA,0.81682963649807,0.0604433482719177
"Donovan 2018_1","ES_83","acc_beliefs",36,36,72,"published","random","not_screened",NA,0,4.61,2.89,2.28,1.51,NA,NA,NA,0.87990998388531,0.0612274259393009
"Donovan 2018_2","ES_85","acc_beliefs",30,30,60,"published","random","not_screened",NA,0,5.1,3.53,1.74,1.71,NA,NA,NA,0.898282341849481,0.0738387835773851
"Donovan 2018_2","ES_86","acc_beliefs",30,30,60,"published","random","not_screened",NA,0,4.23,2.73,1.57,1.53,NA,NA,NA,0.955085251525442,0.074774520535419
"Frede 2008_1","ES_88","acc_beliefs",20,20,40,"published","non-random","not_screened",28.84,NA,5.8,4.45,1.85,2.33,NA,NA,NA,0.628952403663433,0.105455508122405
"Frede 2008_1","ES_89","acc_beliefs",20,20,40,"published","non-random","not_screened",28.84,NA,6.25,4.9,1.97,1.99,NA,NA,NA,0.668248569707328,0.10615851098006
"Geller2021_1","ES_94","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,3.37,2.83,NA,NA,NA,0.268055580263446,0.0422681579834833,0.265933768282469,0.0416016534490357
"Geller2021_1","ES_95","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,2.53,1.56,NA,NA,NA,0.406797480810719,0.0427507888921615,0.403577447981083,0.0420766740026749
"Geller2021_1","ES_92","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,2.91,2.42,1.18,1.14,NA,NA,NA,0.419006400942872,0.0421784676576068
"Geller2021_2","ES_93","acc_beliefs",47,47,94,"unpublished","random","not_screened",8.24,21,3.72,2.85,NA,NA,NA,0.628921353563461,0.0453614553907849,0.623780307076566,0.0446228822951944
"Geller2021_2","ES_96","acc_beliefs",47,47,94,"unpublished","random","not_screened",8.24,21,3.35,1.96,NA,NA,NA,0.701251263280232,0.045873217440168,0.695518964125353,0.0451263118588192
"Gill2004_1","ES_108","acc_beliefs",74,79,153,"published","random","not_screened",-15.49,NA,3.8,3.73,0.63,0.65,NA,NA,NA,0.108761169542568,0.0262113691414157
"Gill2020_1","ES_102","acc_beliefs",40,43,83,"published","random","not_screened",-18.38,434,2.57,2.58,0.64,0.71,NA,NA,NA,-0.0146294609471997,0.0482571642040824
